,ds,yhat
0,2022-01-01,6865537.418549384
1,2022-01-02,6933825.651656384
2,2022-01-03,6418234.283782147
3,2022-01-04,6345082.143878571
4,2022-01-05,6427546.323494328
5,2022-01-06,6474400.196657473
6,2022-01-07,6395344.724388101
7,2022-01-08,7020868.083524408
8,2022-01-09,7072014.664622285
9,2022-01-10,6532237.7593885735
10,2022-01-11,6437041.6426590625
11,2022-01-12,6497605.643275491
12,2022-01-13,6521573.439542792
13,2022-01-14,6418412.136088645
14,2022-01-15,7026216.444585593
15,2022-01-16,7055710.14337668
16,2022-01-17,6490761.8835339025
17,2022-01-18,6376167.593198128
18,2022-01-19,6421120.687020395
19,2022-01-20,6432050.54984932
20,2022-01-21,6318009.925360826
21,2022-01-22,6924426.837236226
22,2022-01-23,6951344.296570673
23,2022-01-24,6382607.485003935
24,2022-01-25,6271797.016536902
25,2022-01-26,6325557.83559898
26,2022-01-27,6348501.132906858
27,2022-01-28,6248635.61178755
28,2022-01-29,6878083.624718812
29,2022-01-30,6925576.069600207
30,2022-01-31,6374327.89661048
